Interval=	0.0005 s
ExcelDateTime=	4.5061542330543212e+004	5/15/2023 13:00:57.358933
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Channel 1	Channel 2
Range=	10.000 mV	10.000 V
0.1105	-0.274	-0.000
0.111	-0.380	-0.000
0.1115	-0.473	-0.000
0.112	-0.561	-0.000
0.1125	-0.664	-0.000
0.113	-0.779	-0.000
0.1135	-0.882	-0.000
0.114	-0.964	-0.000
0.1145	-1.019	-0.000
0.115	-1.031	-0.000
0.1155	-1.001	-0.000
0.116	-0.960	-0.000
0.1165	-0.931	-0.000
0.117	-0.901	-0.000
0.1175	-0.856	-0.000
0.118	-0.802	-0.000
0.1185	-0.755	-0.000
0.119	-0.716	-0.000
0.1195	-0.682	-0.000
0.12	-0.643	-0.000
0.1205	-0.595	-0.000
0.121	-0.550	-0.000
0.1215	-0.516	-0.000
0.122	-0.485	-0.000
0.1225	-0.456	-0.000
0.123	-0.442	-0.000
0.1235	-0.462	-0.000
0.124	-0.509	-0.000
0.1245	-0.553	-0.000
0.125	-0.589	-0.000
0.1255	-0.627	-0.000
0.126	-0.657	-0.000
0.1265	-0.659	-0.000
0.127	-0.638	-0.000
0.1275	-0.617	-0.000
0.128	-0.610	-0.000
0.1285	-0.621	-0.000
0.129	-0.643	-0.000
0.1295	-0.671	-0.000
0.13	-0.700	-0.000
0.1305	-0.728	-0.000
0.131	-0.757	-0.000
0.1315	-0.789	-0.000
0.132	-0.826	-0.000
0.1325	-0.860	-0.000
0.133	-0.886	-0.000
0.1335	-0.915	-0.000
0.134	-0.941	-0.000
0.1345	-0.956	-0.000
0.135	-0.933	-0.000
0.1355	-0.846	-0.000
0.136	-0.728	-0.000
0.1365	-0.625	-0.000
0.137	-0.551	-0.000
0.1375	-0.501	-0.000
0.138	-0.465	-0.000
0.1385	-0.421	-0.000
0.139	-0.363	-0.000
0.1395	-0.331	-0.000
0.14	-0.366	-0.000
0.1405	-0.469	-0.000
0.141	-0.625	-0.000
0.1415	-0.805	-0.000
0.142	-0.964	-0.000
0.1425	-1.049	-0.000
0.143	-1.025	-0.000
0.1435	-0.894	-0.000
0.144	-0.671	-0.000
0.1445	-0.386	-0.000
0.145	-0.067	-0.000
0.1455	0.252	-0.000
0.146	0.506	-0.000
0.1465	0.649	-0.000
0.147	0.683	-0.000
0.1475	0.633	-0.000
0.148	0.521	-0.000
0.1485	0.371	-0.000
0.149	0.217	-0.000
0.1495	0.084	-0.000
0.15	-0.019	-0.000
0.1505	-0.100	-0.000
0.151	-0.169	-0.000
0.1515	-0.230	-0.000
0.152	-0.284	-0.000
0.1525	-0.338	-0.000
0.153	-0.403	-0.000
0.1535	-0.481	-0.000
0.154	-0.556	-0.000
0.1545	-0.615	-0.000
0.155	-0.649	-0.000
0.1555	-0.650	-0.000
0.156	-0.623	-0.000
0.1565	-0.582	-0.000
0.157	-0.530	-0.000
0.1575	-0.477	-0.000
0.158	-0.415	-0.000
0.1585	-0.326	-0.000
0.159	-0.242	-0.000
0.1595	-0.224	-0.000
0.16	-0.292	-0.000
0.1605	-0.414	-0.000
0.161	-0.530	-0.000
0.1615	-0.600	-0.000
0.162	-0.634	-0.000
0.1625	-0.661	-0.000
0.163	-0.694	-0.000
0.1635	-0.733	-0.000
0.164	-0.761	-0.000
0.1645	-0.753	-0.000
0.165	-0.697	-0.000
0.1655	-0.589	-0.000
0.166	-0.447	-0.000
0.1665	-0.312	-0.000
0.167	-0.214	-0.000
0.1675	-0.173	-0.000
0.168	-0.197	-0.000
0.1685	-0.268	-0.000
0.169	-0.345	-0.000
0.1695	-0.400	-0.000
0.17	-0.427	-0.000
0.1705	-0.441	-0.000
0.171	-0.461	-0.000
0.1715	-0.489	-0.000
0.172	-0.521	-0.000
0.1725	-0.556	-0.000
0.173	-0.587	-0.000
0.1735	-0.605	-0.000
0.174	-0.606	-0.000
0.1745	-0.587	-0.000
0.175	-0.536	-0.000
0.1755	-0.457	-0.000
0.176	-0.375	-0.000
0.1765	-0.300	-0.000
0.177	-0.226	-0.000
0.1775	-0.141	-0.000
0.178	-0.055	-0.000
0.1785	-0.004	-0.000
0.179	0.002	-0.000
0.1795	-0.003	-0.000
0.18	0.015	-0.000
0.1805	0.035	-0.000
0.181	0.026	-0.000
0.1815	-0.013	-0.000
0.182	-0.066	-0.000
0.1825	-0.114	-0.000
0.183	-0.148	-0.000
0.1835	-0.179	-0.000
0.184	-0.216	-0.000
0.1845	-0.246	-0.000
0.185	-0.257	-0.000
0.1855	-0.236	-0.000
0.186	-0.189	-0.000
0.1865	-0.133	-0.000
0.187	-0.082	-0.000
0.1875	-0.050	-0.000
0.188	-0.038	-0.000
0.1885	-0.039	-0.000
0.189	-0.051	-0.000
0.1895	-0.080	-0.000
0.19	-0.124	-0.000
0.1905	-0.170	-0.000
0.191	-0.215	-0.000
0.1915	-0.259	-0.000
0.192	-0.305	-0.000
0.1925	-0.356	-0.000
0.193	-0.388	-0.000
0.1935	-0.380	-0.000
0.194	-0.362	-0.000
0.1945	-0.378	-0.000
0.195	-0.437	-0.000
0.1955	-0.526	-0.000
0.196	-0.628	-0.000
0.1965	-0.723	-0.000
0.197	-0.792	-0.000
0.1975	-0.828	-0.000
0.198	-0.830	-0.000
0.1985	-0.801	-0.000
0.199	-0.753	-0.000
0.1995	-0.703	-0.000
0.2	-0.673	-0.000
0.2005	-0.664	-0.000
0.201	-0.668	-0.000
0.2015	-0.692	-0.000
0.202	-0.735	-0.000
0.2025	-0.786	-0.000
0.203	-0.836	-0.000
0.2035	-0.882	-0.000
0.204	-0.918	-0.000
0.2045	-0.927	-0.000
0.205	-0.906	-0.000
0.2055	-0.865	-0.000
0.206	-0.806	-0.000
0.2065	-0.724	-0.000
0.207	-0.613	-0.000
0.2075	-0.504	-0.000
0.208	-0.435	-0.000
0.2085	-0.413	-0.000
0.209	-0.420	-0.000
0.2095	-0.431	-0.000
0.21	-0.427	-0.000
0.2105	-0.401	-0.000
0.211	-0.347	-0.000
0.2115	-0.277	-0.000
0.212	-0.197	-0.000
0.2125	-0.102	-0.000
0.213	0.004	-0.000
0.2135	0.115	-0.000
0.214	0.215	-0.000
0.2145	0.304	-0.000
0.215	0.387	-0.000
0.2155	0.456	-0.000
0.216	0.510	-0.000
0.2165	0.539	-0.000
0.217	0.540	-0.000
0.2175	0.510	-0.000
0.218	0.436	-0.000
0.2185	0.337	-0.000
0.219	0.175	-0.000
0.2195	-0.128	-0.000
0.22	-0.578	-0.000
0.2205	-1.145	-0.000
0.221	-1.751	-0.000
0.2215	-2.309	-0.000
0.222	-2.756	-0.000
0.2225	-3.059	-0.000
0.223	-3.211	-0.000
0.2235	-3.223	-0.000
0.224	-3.134	-0.000
0.2245	-2.983	-0.000
0.225	-2.799	-0.000
0.2255	-2.599	-0.000
0.226	-2.379	-0.000
0.2265	-2.131	-0.000
0.227	-1.848	-0.000
0.2275	-1.529	-0.000
0.228	-1.188	-0.000
0.2285	-0.877	-0.000
0.229	-0.662	-0.000
0.2295	-0.579	-0.000
0.23	-0.627	-0.000
0.2305	-0.789	-0.000
0.231	-1.040	-0.000
0.2315	-1.354	-0.000
0.232	-1.710	-0.000
0.2325	-2.089	-0.000
0.233	-2.476	-0.000
0.2335	-2.846	-0.000
0.234	-3.162	-0.000
0.2345	-3.406	-0.000
0.235	-3.581	-0.000
0.2355	-3.699	-0.000
0.236	-3.771	-0.000
0.2365	-3.786	-0.000
0.237	-3.726	-0.000
0.2375	-3.592	-0.000
0.238	-3.412	-0.000
0.2385	-3.212	-0.000
0.239	-3.009	-0.000
0.2395	-2.819	-0.000
0.24	-2.653	-0.000
0.2405	-2.532	-0.000
0.241	-2.466	-0.000
0.2415	-2.444	-0.000
0.242	-2.443	-0.000
0.2425	-2.446	-0.000
0.243	-2.454	-0.000
0.2435	-2.479	-0.000
0.244	-2.531	-0.000
0.2445	-2.593	-0.000
0.245	-2.631	-0.000
0.2455	-2.602	-0.000
0.246	-2.482	-0.000
0.2465	-2.277	-0.000
0.247	-2.022	-0.000
0.2475	-1.760	-0.000
0.248	-1.527	-0.000
0.2485	-1.341	-0.000
0.249	-1.198	-0.000
0.2495	-1.091	-0.000
0.25	-1.013	-0.000
0.2505	-0.963	-0.000
0.251	-0.950	-0.000
0.2515	-0.972	-0.000
0.252	-1.023	-0.000
0.2525	-1.081	-0.000
0.253	-1.112	-0.000
0.2535	-1.108	-0.000
0.254	-1.090	-0.000
0.2545	-1.063	-0.000
0.255	-1.021	-0.000
0.2555	-0.955	-0.000
0.256	-0.868	-0.000
0.2565	-0.766	-0.000
0.257	-0.657	-0.000
0.2575	-0.557	-0.000
0.258	-0.476	-0.000
0.2585	-0.418	-0.000
0.259	-0.381	-0.000
0.2595	-0.364	-0.000
0.26	-0.363	-0.000
0.2605	-0.387	-0.000
0.261	-0.441	-0.000
0.2615	-0.527	-0.000
0.262	-0.642	-0.000
0.2625	-0.778	-0.000
0.263	-0.928	-0.000
0.2635	-1.087	-0.000
0.264	-1.248	-0.000
0.2645	-1.397	-0.000
0.265	-1.527	-0.000
0.2655	-1.634	-0.000
0.266	-1.721	-0.000
0.2665	-1.796	-0.000
0.267	-1.881	-0.000
0.2675	-2.019	-0.000
0.268	-2.242	-0.000
0.2685	-2.532	-0.000
0.269	-2.884	-0.000
0.2695	-3.324	-0.000
0.27	-3.954	-0.000
0.2705	-4.824	-0.000
0.271	-6.019	-0.000
0.2715	-7.367	-0.000
0.272	-8.913	-0.000
0.2725	-10.240	-0.000
0.273	-10.240	-0.000
0.2735	-10.240	-0.000
0.274	-10.240	-0.000
0.2745	-10.240	-0.000
0.275	-10.240	-0.000
0.2755	-10.240	-0.000
0.276	-10.240	-0.000
0.2765	-10.240	-0.000
0.277	-10.240	-0.000
0.2775	-10.240	-0.000
0.278	-10.240	-0.000
0.2785	-10.240	-0.000
0.279	-10.240	-0.000
0.2795	-10.240	-0.000
0.28	-10.240	-0.000
0.2805	-10.240	-0.000
0.281	-10.240	-0.000
0.2815	-10.240	-0.000
0.282	-10.240	-0.000
0.2825	-10.240	-0.000
0.283	-10.240	-0.000
0.2835	-10.240	-0.000
0.284	-10.240	-0.000
0.2845	-10.240	-0.000
0.285	-10.240	-0.000
0.2855	-10.240	-0.000
0.286	-10.240	-0.000
0.2865	-10.240	-0.000
0.287	-10.240	-0.000
0.2875	-10.240	-0.000
0.288	-10.240	-0.000
0.2885	-10.240	-0.000
0.289	-10.240	-0.000
0.2895	-10.240	-0.000
0.29	-10.240	-0.000
0.2905	-10.240	-0.000
0.291	-10.240	-0.000
0.2915	-10.240	-0.000
0.292	-10.240	-0.000
0.2925	-10.240	-0.000
0.293	-10.240	-0.000
0.2935	-10.240	-0.000
0.294	-10.240	-0.000
0.2945	-10.052	-0.000
0.295	-9.123	-0.000
0.2955	-8.064	-0.000
0.296	-6.890	-0.000
0.2965	-5.706	-0.000
0.297	-4.573	-0.000
0.2975	-3.563	-0.000
0.298	-2.704	-0.000
0.2985	-1.997	-0.000
0.299	-1.438	-0.000
0.2995	-1.022	-0.000
0.3	-0.729	-0.000
0.3005	-0.516	-0.000
0.301	-0.343	-0.000
0.3015	-0.182	-0.000
0.302	-0.011	-0.000
0.3025	0.166	-0.000
0.303	0.303	-0.000
0.3035	0.353	-0.000
0.304	0.304	-0.000
0.3045	0.178	-0.000
0.305	0.016	-0.000
0.3055	-0.130	-0.000
0.306	-0.215	-0.000
0.3065	-0.222	-0.000
0.307	-0.175	-0.000
0.3075	-0.116	-0.000
0.308	-0.078	-0.000
0.3085	-0.069	-0.000
0.309	-0.086	-0.000
0.3095	-0.110	-0.000
0.31	-0.117	-0.000
