Interval=	0.0005 s
ExcelDateTime=	4.5061542499698298e+004	5/15/2023 13:01:11.973933
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Channel 1
Range=	10.000 mV
14.7835	-0.897
14.784	-1.109
14.7845	-1.258
14.785	-1.326
14.7855	-1.294
14.786	-1.144
14.7865	-0.920
14.787	-0.676
14.7875	-0.452
14.788	-0.279
14.7885	-0.169
14.789	-0.122
14.7895	-0.124
14.79	-0.159
14.7905	-0.207
14.791	-0.248
14.7915	-0.278
14.792	-0.290
14.7925	-0.293
14.793	-0.298
14.7935	-0.308
14.794	-0.320
14.7945	-0.327
14.795	-0.324
14.7955	-0.309
14.796	-0.278
14.7965	-0.238
14.797	-0.192
14.7975	-0.143
14.798	-0.099
14.7985	-0.061
14.799	-0.031
14.7995	-0.009
14.8	0.011
14.8005	0.034
14.801	0.061
14.8015	0.092
14.802	0.124
14.8025	0.155
14.803	0.187
14.8035	0.230
14.804	0.282
14.8045	0.326
14.805	0.331
14.8055	0.295
14.806	0.247
14.8065	0.186
14.807	0.115
14.8075	0.045
14.808	-0.023
14.8085	-0.085
14.809	-0.139
14.8095	-0.175
14.81	-0.194
14.8105	-0.203
14.811	-0.207
14.8115	-0.211
14.812	-0.215
14.8125	-0.206
14.813	-0.185
14.8135	-0.169
14.814	-0.166
14.8145	-0.166
14.815	-0.160
14.8155	-0.142
14.816	-0.110
14.8165	-0.069
14.817	-0.027
14.8175	0.011
14.818	0.046
14.8185	0.081
14.819	0.112
14.8195	0.146
14.82	0.183
14.8205	0.222
14.821	0.262
14.8215	0.300
14.822	0.329
14.8225	0.342
14.823	0.341
14.8235	0.341
14.824	0.352
14.8245	0.374
14.825	0.381
14.8255	0.366
14.826	0.356
14.8265	0.343
14.827	0.323
14.8275	0.295
14.828	0.255
14.8285	0.198
14.829	0.129
14.8295	0.059
14.83	-0.006
14.8305	-0.060
14.831	-0.107
14.8315	-0.151
14.832	-0.189
14.8325	-0.216
14.833	-0.236
14.8335	-0.253
14.834	-0.266
14.8345	-0.268
14.835	-0.260
14.8355	-0.248
14.836	-0.235
14.8365	-0.220
14.837	-0.205
14.8375	-0.197
14.838	-0.200
14.8385	-0.207
14.839	-0.215
14.8395	-0.223
14.84	-0.226
14.8405	-0.217
14.841	-0.203
14.8415	-0.186
14.842	-0.171
14.8425	-0.161
14.843	-0.152
14.8435	-0.132
14.844	-0.106
14.8445	-0.083
14.845	-0.091
14.8455	-0.119
14.846	-0.134
14.8465	-0.145
14.847	-0.152
14.8475	-0.149
14.848	-0.135
14.8485	-0.115
14.849	-0.092
14.8495	-0.066
14.85	-0.035
14.8505	-0.005
14.851	0.022
14.8515	0.045
14.852	0.066
14.8525	0.085
14.853	0.105
14.8535	0.124
14.854	0.139
14.8545	0.151
14.855	0.158
14.8555	0.160
14.856	0.159
14.8565	0.152
14.857	0.138
14.8575	0.128
14.858	0.126
14.8585	0.133
14.859	0.144
14.8595	0.150
14.86	0.140
14.8605	0.100
14.861	0.015
14.8615	-0.132
14.862	-0.348
14.8625	-0.617
14.863	-0.890
14.8635	-1.100
14.864	-1.196
14.8645	-1.150
14.865	-0.978
14.8655	-0.714
14.866	-0.407
14.8665	-0.124
14.867	0.089
14.8675	0.207
14.868	0.233
14.8685	0.186
14.869	0.096
14.8695	-0.004
14.87	-0.093
14.8705	-0.173
14.871	-0.252
14.8715	-0.329
14.872	-0.398
14.8725	-0.451
14.873	-0.481
14.8735	-0.489
14.874	-0.481
14.8745	-0.466
14.875	-0.449
14.8755	-0.429
14.876	-0.402
14.8765	-0.368
14.877	-0.321
14.8775	-0.269
14.878	-0.223
14.8785	-0.187
14.879	-0.157
14.8795	-0.126
14.88	-0.100
14.8805	-0.076
14.881	-0.048
14.8815	-0.016
14.882	0.024
14.8825	0.068
14.883	0.114
14.8835	0.163
14.884	0.216
14.8845	0.268
14.885	0.298
14.8855	0.309
14.886	0.317
14.8865	0.314
14.887	0.303
14.8875	0.291
14.888	0.280
14.8885	0.274
14.889	0.273
14.8895	0.271
14.89	0.263
14.8905	0.246
14.891	0.223
14.8915	0.196
14.892	0.166
14.8925	0.136
14.893	0.107
14.8935	0.083
14.894	0.064
14.8945	0.046
14.895	0.025
14.8955	0.007
14.896	-0.002
14.8965	-0.003
14.897	-0.002
14.8975	-0.003
14.898	-0.011
14.8985	-0.024
14.899	-0.043
14.8995	-0.067
14.9	-0.093
14.9005	-0.117
14.901	-0.138
14.9015	-0.153
14.902	-0.160
14.9025	-0.159
14.903	-0.148
14.9035	-0.130
14.904	-0.109
14.9045	-0.090
14.905	-0.091
14.9055	-0.102
14.906	-0.100
14.9065	-0.097
14.907	-0.096
14.9075	-0.095
14.908	-0.092
14.9085	-0.087
14.909	-0.084
14.9095	-0.082
14.91	-0.076
14.9105	-0.064
14.911	-0.048
14.9115	-0.031
14.912	-0.013
