Interval=	0.0005 s
ExcelDateTime=	4.5061513277778286e+004	5/15/2023 12:19:07.200044
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Channel 1
Range=	10.000 mV
107.185	-0.422
107.1855	-0.417
107.186	-0.426
107.1865	-0.441
107.187	-0.458
107.1875	-0.475
107.188	-0.488
107.1885	-0.500
107.189	-0.514
107.1895	-0.531
107.19	-0.548
107.1905	-0.567
107.191	-0.591
107.1915	-0.620
107.192	-0.650
107.1925	-0.678
107.193	-0.696
107.1935	-0.701
107.194	-0.697
107.1945	-0.689
107.195	-0.687
107.1955	-0.701
107.196	-0.736
107.1965	-0.782
107.197	-0.824
107.1975	-0.853
107.198	-0.866
107.1985	-0.871
107.199	-0.877
107.1995	-0.888
107.2	-0.900
107.2005	-0.905
107.201	-0.892
107.2015	-0.857
107.202	-0.804
107.2025	-0.746
107.203	-0.694
107.2035	-0.652
107.204	-0.621
107.2045	-0.596
107.205	-0.581
107.2055	-0.580
107.206	-0.591
107.2065	-0.611
107.207	-0.634
107.2075	-0.651
107.208	-0.653
107.2085	-0.633
107.209	-0.595
107.2095	-0.555
107.21	-0.526
107.2105	-0.517
107.211	-0.525
107.2115	-0.534
107.212	-0.534
107.2125	-0.520
107.213	-0.495
107.2135	-0.472
107.214	-0.462
107.2145	-0.468
107.215	-0.484
107.2155	-0.500
107.216	-0.507
107.2165	-0.503
107.217	-0.500
107.2175	-0.508
107.218	-0.530
107.2185	-0.560
107.219	-0.594
107.2195	-0.622
107.22	-0.640
107.2205	-0.651
107.221	-0.657
107.2215	-0.657
107.222	-0.653
107.2225	-0.641
107.223	-0.620
107.2235	-0.587
107.224	-0.540
107.2245	-0.488
107.225	-0.447
107.2255	-0.427
107.226	-0.432
107.2265	-0.466
107.227	-0.535
107.2275	-0.647
107.228	-0.803
107.2285	-1.005
107.229	-1.255
107.2295	-1.549
107.23	-1.850
107.2305	-2.068
107.231	-2.110
107.2315	-1.950
107.232	-1.613
107.2325	-1.172
107.233	-0.726
107.2335	-0.352
107.234	-0.092
107.2345	0.050
107.235	0.087
107.2355	0.041
107.236	-0.061
107.2365	-0.186
107.237	-0.305
107.2375	-0.400
107.238	-0.463
107.2385	-0.503
107.239	-0.533
107.2395	-0.558
107.24	-0.578
107.2405	-0.591
107.241	-0.591
107.2415	-0.573
107.242	-0.534
107.2425	-0.478
107.243	-0.414
107.2435	-0.349
107.244	-0.290
107.2445	-0.243
107.245	-0.201
107.2455	-0.157
107.246	-0.112
107.2465	-0.077
107.247	-0.066
107.2475	-0.086
107.248	-0.129
107.2485	-0.170
107.249	-0.190
107.2495	-0.185
107.25	-0.170
107.2505	-0.160
107.251	-0.153
107.2515	-0.157
107.252	-0.166
107.2525	-0.169
107.253	-0.169
107.2535	-0.170
107.254	-0.178
107.2545	-0.194
107.255	-0.211
107.2555	-0.221
107.256	-0.219
107.2565	-0.207
107.257	-0.196
107.2575	-0.194
107.258	-0.210
107.2585	-0.240
107.259	-0.280
107.2595	-0.322
107.26	-0.357
107.2605	-0.381
107.261	-0.394
107.2615	-0.401
107.262	-0.403
107.2625	-0.402
107.263	-0.398
107.2635	-0.385
107.264	-0.360
107.2645	-0.330
