Interval=	0.0005 s
ExcelDateTime=	4.5061510865477096e+004	5/15/2023 12:15:38.777221
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Channel 1
Range=	10.000 mV
130.306	0.019
130.3065	-0.024
130.307	-0.068
130.3075	-0.112
130.308	-0.145
130.3085	-0.156
130.309	-0.150
130.3095	-0.135
130.31	-0.117
130.3105	-0.088
130.311	-0.047
130.3115	-0.008
130.312	0.009
130.3125	-0.007
130.313	-0.049
130.3135	-0.105
130.314	-0.172
130.3145	-0.251
130.315	-0.332
130.3155	-0.398
130.316	-0.435
130.3165	-0.455
130.317	-0.452
130.3175	-0.453
130.318	-0.409
130.3185	-0.402
130.319	-0.462
130.3195	-0.389
130.32	-0.274
130.3205	-0.157
130.321	-0.018
130.3215	0.101
130.322	0.202
130.3225	0.270
130.323	0.312
130.3235	0.331
130.324	0.322
130.3245	0.284
130.325	0.225
130.3255	0.154
130.326	0.089
130.3265	0.043
130.327	0.014
130.3275	-0.007
130.328	-0.021
130.3285	-0.023
130.329	-0.013
130.3295	0.006
130.33	0.023
130.3305	0.038
130.331	0.058
130.3315	0.087
130.332	0.116
130.3325	0.124
130.333	0.103
130.3335	0.069
130.334	0.033
130.3345	-0.011
130.335	-0.066
130.3355	-0.122
130.336	-0.161
130.3365	-0.181
130.337	-0.182
130.3375	-0.198
130.338	-0.187
130.3385	-0.218
130.339	-0.307
130.3395	-0.257
130.34	-0.171
130.3405	-0.099
130.341	-0.010
130.3415	0.072
130.342	0.157
130.3425	0.228
130.343	0.278
130.3435	0.297
130.344	0.274
130.3445	0.190
130.345	0.028
130.3455	-0.221
130.346	-0.545
130.3465	-0.914
130.347	-1.275
130.3475	-1.552
130.348	-1.681
130.3485	-1.635
130.349	-1.420
130.3495	-1.070
130.35	-0.648
130.3505	-0.232
130.351	0.109
130.3515	0.343
130.352	0.478
130.3525	0.528
130.353	0.498
130.3535	0.408
130.354	0.293
130.3545	0.186
130.355	0.100
130.3555	0.027
130.356	-0.038
130.3565	-0.099
130.357	-0.127
130.3575	-0.143
130.358	-0.115
130.3585	-0.137
130.359	-0.237
130.3595	-0.196
130.36	-0.100
130.3605	-0.007
130.361	0.091
130.3615	0.160
130.362	0.219
130.3625	0.259
130.363	0.282
130.3635	0.285
130.364	0.271
130.3645	0.253
130.365	0.238
130.3655	0.219
130.366	0.190
130.3665	0.148
130.367	0.110
130.3675	0.091
130.368	0.094
130.3685	0.102
